Author,Awarding Data,Award,Papers,Citations,Years,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AW_index,e_index,hm_index,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,Cites_Year,Cites_Paper,hg_Index,H_Core,A_Index,R_Index,f_Index,p_Index,k_Index,M_quotient,AR_Index,Q_Square_Index,Class
Jaehong Kim,2013,ASCE,318,4380,31,3.75,29,59,18,7.86,17,20.93,45.5,17.89,0.55,66.5,81.3,7,1988,2013,141.29,13.77,41.36,1088,37.52,32.98,2.46,39.22,4.55,0.94,11.89,5.22,1
Seymour M.J. Spence,2015,ASCE,296,3280,53,2.79,30,47,10,10,18,13.26,31.02,19.57,0.35,60.4,72.9,2,1968,2014,61.89,11.08,37.55,1147,38.23,33.87,1.07,33.12,5.96,0.57,7.87,4.14,1
Rao S. G.,2013,ASCE,280,12027,81,3.39,46,105,27,12.02,25,29.27,86.17,24.84,0.31,79.3,93,18,1938,2013,148.48,42.95,69.5,2363,51.37,48.61,3.51,80.24,10.5,0.57,12.19,5.12,1
Ionnis Brilakis,2013,ASCE,279,4337,27,3.1,36,61,30,10.71,22,27.83,44.02,18.88,0.81,74.6,88,22,1992,2019,160.63,15.54,46.86,1543,42.86,39.28,1.5,40.7,8.58,1.33,12.67,6.92,1
James R. Rice,2018,ASCE,278,44344,139,2.32,82,210,39,39.09,63,39.16,185.59,57.33,0.45,92.8,100,39,1880,2018,319.02,159.51,131.22,6971,85.01,83.49,5.12,191.96,29.75,0.59,17.86,6.96,1
Marcelo H. Garcia,2012,ASCE,265,6770,29,2.79,45,78,25,15.94,27,22.47,55.65,27.4,0.93,75.7,90.5,10,1990,2012,233.45,25.55,59.25,2272,50.49,47.67,1.53,55.72,12.9,1.55,15.28,8.35,1
Joseph A. Yura,2011,ASCE,242,6650,50,3.45,41,79,24,10.57,20,22.84,60.64,18.67,0.4,80.6,94,10,1969,2014,133,27.48,56.91,1928,47.02,43.91,2.19,56.75,11.22,0.82,11.53,5.8,1
Feniosky Pena-Mora,2013,ASCE,239,6116,45,3.35,43,72,27,12.93,24,25.32,49.75,22.83,0.53,70.7,85.6,16,1974,2019,135.91,25.59,55.64,2096,48.74,45.78,1.34,53.89,13.34,0.96,11.66,6.42,1
Todd A. Helwig,2011,ASCE,234,7836,18,3.71,50,84,33,11.52,24,29.46,58.86,23.54,1.33,76.1,91.3,29,2001,2014,435.33,33.49,64.81,2747,54.94,52.41,1.39,64.02,18.08,2.78,20.86,11.79,1
Jeff A. K. Silva,2014,ASCE,232,7836,18,3.71,50,84,33,11.52,24,29.46,58.86,23.54,1.33,76.1,91.3,29,2001,2014,435.33,33.78,64.81,2747,54.94,52.41,1.39,64.2,18.23,2.78,20.86,11.79,1
Monroe L. Weber-Shirk,2015,ASCE,231,4716,60,2.16,35,66,16,12.25,23,15.94,51.91,18.85,0.38,83.1,94.1,6,1959,2013,78.6,20.42,48.06,1472,42.06,38.37,2.2,45.83,9.26,0.58,8.87,4.51,1
William B. Bradfield,2014,ASCE,231,6650,50,3.45,41,79,24,10.57,20,22.84,60.64,18.67,0.4,80.6,94,10,1969,2014,133,28.79,56.91,1928,47.02,43.91,2.19,57.63,11.75,0.82,11.53,5.8,1
Steven C. Chapra,2015,ASCE,231,7836,18,3.71,50,84,33,11.52,24,29.46,58.86,23.54,1.33,76.1,91.3,29,2001,2014,435.33,33.92,64.81,2747,54.94,52.41,1.39,64.3,18.31,2.78,20.86,11.79,1
J.P. Rao,2012,ASCE,229,4822,53,3.14,26,67,15,6.9,18,19.07,57.31,15.29,0.34,82.1,95,6,1966,2013,90.98,21.06,41.74,923,35.5,30.38,4.86,46.65,4.98,0.49,9.54,3.57,1
Leonard W Lion,2015,ASCE,219,6650,50,3.45,41,79,24,10.57,20,22.84,60.64,18.67,0.4,80.6,94,10,1969,2014,133,30.37,56.91,1928,47.02,43.91,2.19,58.67,12.4,0.82,11.53,5.8,1
Robert Ettema,2011,ASCE,213,5478,54,3.24,38,66,21,12.34,23,20.46,47.1,22.17,0.43,66.8,80.8,6,1965,2014,101.44,25.72,50.08,1691,44.5,41.12,1.54,52.03,11.48,0.7,10.07,5.16,1
Jeffrey C. Will,2015,ASCE,211,5478,54,3.24,38,66,21,12.34,23,20.46,47.1,22.17,0.43,66.8,80.8,6,1965,2014,101.44,25.96,50.08,1691,44.5,41.12,1.54,52.2,11.59,0.7,10.07,5.16,1
Mani GolparvarFard,2013,ASCE,200,539,68,1.09,11,20,5,8.07,11,5.91,14.25,11,0.16,60.1,75.7,0,1951,2014,7.93,2.7,14.83,368,33.45,19.18,1.68,11.33,5.8,0.16,2.82,1.33,1
Nicholas E. Malasavage,2014,ASCE,193,5478,54,3.24,38,66,21,12.34,23,20.46,47.1,22.17,0.43,66.8,80.8,6,1965,2014,101.44,28.38,50.08,1691,44.5,41.12,1.54,53.77,12.67,0.7,10.07,5.16,1
"Oral Buyukozturk,",2018,ASCE,193,4982,49,2.76,34,67,28,13.14,24,30.1,51.18,21.58,0.49,75.8,90.8,16,1970,2018,101.67,25.81,47.73,1403,41.26,37.46,2.27,50.48,10.12,0.69,10.08,4.84,1
James A. Smith,2012,ASCE,190,23334,53,2.99,87,144,39,27.73,51,37.67,96.3,58.55,0.96,72.2,89.8,38,1966,2012,440.26,122.81,111.93,7816,89.84,88.41,1.23,142.04,61.86,1.64,20.98,11.94,1
Zhenhua Zhu,2013,ASCE,183,1960,35,3.46,22,41,14,5.83,12,15.65,31.91,10.59,0.34,76.6,89.6,3,1984,2014,56,10.71,30.03,731,33.23,27.04,2.1,27.59,6.37,0.63,7.48,3.72,1
John A. Connor,2013,ASCE,180,11543,119,2.76,53,106,24,17.13,34,22.34,85.1,27.6,0.29,87.1,98.7,14,1900,2014,97,64.13,74.95,3056,57.66,55.28,2.58,90.46,23.09,0.45,9.85,4.88,1
Jose D Salas,2015,ASCE,171,3986,28,3.16,34,62,20,10.61,21,16.71,47.28,17.97,0.75,85.1,99.2,5,1991,2014,142.36,23.31,45.91,1403,41.26,37.46,1.93,45.29,12.66,1.21,11.93,6.41,1
Kyle F. Flynn,2015,ASCE,169,2139,27,2.88,21,43,13,6.89,13,14.4,34.03,11.48,0.48,74.8,88.6,5,1992,2014,79.22,12.66,30.05,688,32.76,26.23,2.63,30.03,6,0.78,8.9,4.05,1
William J.,2014,ASCE,169,3986,28,3.16,34,62,20,10.61,21,16.71,47.28,17.97,0.75,85.1,99.2,5,1991,2014,142.36,23.59,45.91,1403,41.26,37.46,1.93,45.47,12.81,1.21,11.93,6.41,1
Jorge G. Zornberg,2012,ASCE,168,3381,31,2.7,33,55,18,10.89,21,16.12,38.63,18.45,0.68,76.3,89.9,2,1988,2013,109.06,20.12,42.6,1336,40.48,36.55,1.37,40.83,13.15,1.06,10.44,5.91,1
John E. McCray,2014,ASCE,168,2139,27,2.88,21,43,13,6.89,13,14.4,34.03,11.48,0.48,74.8,88.6,5,1992,2014,79.22,12.73,30.05,688,32.76,26.23,2.63,30.09,6.04,0.78,8.9,4.05,1
Reagan S. Herman,2011,ASCE,167,2139,27,2.88,21,43,13,6.89,13,14.4,34.03,11.48,0.48,74.8,88.6,5,1992,2014,79.22,12.81,30.05,688,32.76,26.23,2.63,30.15,6.07,0.78,8.9,4.05,1
Chia-Ming Uang,2014,ASCE,163,1925,43,2.09,23,43,9,11.26,16,10.8,32.45,17.75,0.37,82.2,97.1,2,1976,2014,44.77,11.81,31.45,776,33.74,27.86,1.99,28.33,7.98,0.53,6.69,3.49,1
Douglas P. Taylor,2015,ASCE,161,1925,43,2.09,23,43,9,11.26,16,10.8,32.45,17.75,0.37,82.2,97.1,2,1976,2014,44.77,11.96,31.45,776,33.74,27.86,1.99,28.45,8.08,0.53,6.69,3.49,1
Yuri Bazilevs,2018,ASCE,159,19399,14,3.96,48,139,51,11.82,33,47.46,128.02,16.7,2.36,96.4,100,56,2005,2018,1385.64,122.01,81.68,2551,53.15,50.51,7.11,133.27,18.47,3.43,37.22,12.83,1
Jacob Odgaard,2015,ASCE,159,1001,76,2.85,15,28,5,4.33,9,5.9,20.47,9.73,0.12,64.3,78.9,0,1943,2010,13.17,6.3,20.49,472,31.47,21.73,1.86,18.47,5.62,0.2,3.63,1.73,1
Alexandre M. Bayen,2014,ASCE,158,7478,309,3.35,40,85,28,11.85,24,27.83,69.68,20.02,0.08,86.3,98.5,20,1710,2014,24.2,47.33,58.31,1847,46.18,42.98,3.03,70.74,15.52,0.13,4.92,2.28,1
Chong Zhou,2011,ASCE,158,1001,76,2.85,15,28,5,4.33,9,5.9,20.47,9.73,0.12,64.3,78.9,0,1943,2010,13.17,6.34,20.49,472,31.47,21.73,1.86,18.51,5.65,0.2,3.63,1.73,1
Hongbin Yin,2013,ASCE,157,2350,38,3.44,22,47,14,5.69,14,13.94,38.48,9.67,0.37,83.6,94.4,5,1981,2013,61.84,14.97,32.16,731,33.23,27.04,3.06,32.77,6.76,0.58,7.86,3.57,1
Joseph H.W. Lee,2013,ASCE,153,3690,40,3.04,32,58,16,8.53,18,16.95,42.88,17.08,0.45,77.6,92.1,6,1979,2014,92.25,24.12,43.08,1271,39.72,35.65,1.8,44.65,12.67,0.8,9.6,5.06,1
Matt Liberatore,2014,ASCE,151,1001,76,2.85,15,28,5,4.33,9,5.9,20.47,9.73,0.12,64.3,78.9,0,1943,2010,13.17,6.63,20.49,472,31.47,21.73,1.86,18.79,5.91,0.2,3.63,1.73,1
Marios Panagiotou,2012,ASCE,151,1538,39,3.69,21,37,12,5.51,12,11.29,27.89,9.95,0.31,79.3,92.9,1,1980,2014,39.44,10.19,27.87,688,32.76,26.23,1.76,25.02,8.24,0.54,6.28,3.37,1
Silvio Savarese,2013,ASCE,147,8334,21,3.26,49,90,39,15.29,31,32.62,69.72,22.85,1.48,87.1,99.1,39,1998,2014,396.86,56.69,66.41,2648,54.04,51.46,2.02,77.89,26.4,2.33,19.92,10.69,1
Eric M.V. Hoek,2011,ASCE,146,2812,40,2.8,30,51,13,10.47,18,14.26,35.21,17.08,0.45,76.1,92.8,5,1979,2014,70.3,19.26,39.12,1147,38.23,33.87,1.38,37.83,13.27,0.75,8.38,4.74,1
Ahmet H. Aydilek,2011,ASCE,145,1282,54,2.82,17,33,7,6.02,10,8.76,24.62,11.22,0.19,69.8,86.2,2,1965,2014,23.74,8.84,23.69,536,31.53,23.15,2.1,22.46,6.35,0.31,4.87,2.3,1
Hyoung-Bo Sim,2014,ASCE,141,2812,40,2.8,30,51,13,10.47,18,14.26,35.21,17.08,0.45,76.1,92.8,5,1979,2014,70.3,19.94,39.12,1147,38.23,33.87,1.38,38.28,13.74,0.75,8.38,4.74,1
Christian Hellmich,2012,ASCE,141,756,65,1.67,16,26,5,9.14,12,4.07,18.68,12,0.18,80,92.1,0,1954,1990,11.63,5.36,20.4,503,31.44,22.43,1.36,15.94,10.66,0.25,3.41,2,1
Yannis F,2012,ASCE,139,8711,47,2.29,45,93,25,20.88,36,21.92,75.76,31.87,0.77,89.1,99.6,14,1972,2012,185.34,62.67,64.69,2272,50.49,47.67,2.83,81.73,22.11,0.96,13.61,6.57,1
Troy Rodney,2015,ASCE,139,3732,29,2.49,34,58,23,12.57,24,20.05,41.39,20.85,0.83,76.9,91.2,10,1990,2014,128.69,26.85,44.41,1403,41.26,37.46,1.48,46.45,16.17,1.17,11.34,6.31,1
Najjar A,2011,ASCE,138,3732,29,2.49,34,58,23,12.57,24,20.05,41.39,20.85,0.83,76.9,91.2,10,1990,2014,128.69,27.04,44.41,1403,41.26,37.46,1.48,46.56,16.29,1.17,11.34,6.31,1
Robyn Simcock,2014,ASCE,132,3732,29,2.49,34,58,23,12.57,24,20.05,41.39,20.85,0.83,76.9,91.2,10,1990,2014,128.69,28.27,44.41,1403,41.26,37.46,1.48,47.25,17.03,1.17,11.34,6.31,1
Adrian W. K.,2014,ASCE,132,1282,54,2.82,17,33,7,6.02,10,8.76,24.62,11.22,0.19,69.8,86.2,2,1965,2014,23.74,9.71,23.69,536,31.53,23.15,2.1,23.18,6.98,0.31,4.87,2.3,1
Sashi K. Kunnath,2012,ASCE,131,6133,32,2.85,39,77,24,13.11,27,20.27,62.51,21.5,0.84,88.5,99,12,1987,2012,191.66,46.82,54.8,1768,45.33,42.05,2.57,65.97,18.96,1.22,13.84,6.9,1
Michael Constantinou,2015,ASCE,131,2812,40,2.8,30,51,13,10.47,18,14.26,35.21,17.08,0.45,76.1,92.8,5,1979,2014,70.3,21.47,39.12,1147,38.23,33.87,1.38,39.23,14.79,0.75,8.38,4.74,1
Joyce Lin,2019,ASCE,129,1864,45,3.78,26,41,23,5.54,13,20.93,28.05,10.14,0.29,78.5,92,16,1974,2019,41.42,14.45,32.65,923,35.5,30.38,1.16,29.98,14.17,0.58,6.44,3.88,1
Dharma T.R. Pasala,2015,ASCE,129,1392,26,2.92,18,35,13,6.48,10,11.61,27.93,9.17,0.38,79.3,90.5,2,1993,2014,53.54,10.79,25.1,571,31.72,23.9,2.41,24.67,7.5,0.69,7.32,3.52,1
Jonah J. Shishkin,2011,ASCE,129,2502,46,2.44,25,47,14,9.77,16,13.32,34.87,16.87,0.35,73.6,90,3,1973,2014,54.39,19.4,34.28,872,34.88,29.53,1.95,36.47,10.38,0.54,7.38,3.67,1
Robert B. Gilbert,2011,ASCE,127,1392,26,2.92,18,35,13,6.48,10,11.61,27.93,9.17,0.38,79.3,90.5,2,1993,2014,53.54,10.96,25.1,571,31.72,23.9,2.41,24.8,7.62,0.69,7.32,3.52,1
E. Eric Adams,2014,ASCE,124,2502,46,2.44,25,47,14,9.77,16,13.32,34.87,16.87,0.35,73.6,90,3,1973,2014,54.39,20.18,34.28,872,34.88,29.53,1.95,36.96,10.79,0.54,7.38,3.67,1
Andrew J. Craig,2014,ASCE,122,1392,26,2.92,18,35,13,6.48,10,11.61,27.93,9.17,0.38,79.3,90.5,2,1993,2014,53.54,11.41,25.1,571,31.72,23.9,2.41,25.14,7.94,0.69,7.32,3.52,1
Mohammad Kabalan,2014,ASCE,121,756,65,1.67,16,26,5,9.14,12,4.07,18.68,12,0.18,80,92.1,0,1954,1990,11.63,6.25,20.4,503,31.44,22.43,1.36,16.78,12.42,0.25,3.41,2,1
Andrei M. Reinhorn,2015,ASCE,120,2502,46,2.44,25,47,14,9.77,16,13.32,34.87,16.87,0.35,73.6,90,3,1973,2014,54.39,20.85,34.28,872,34.88,29.53,1.95,37.36,11.15,0.54,7.38,3.67,1
Raffaella Paparcone,2011,ASCE,119,1301,59,3.02,20,34,13,5.63,12,11.31,25.28,10.55,0.2,79.9,92.5,2,1960,2014,22.05,10.93,26.08,647,32.35,25.44,1.6,24.23,10.82,0.34,4.7,2.61,1
Rao Y. Surampalli,2012,ASCE,118,3931,34,3.71,27,62,17,6.28,12,18.44,51.89,12.15,0.35,87.1,98.5,4,1985,2013,115.62,33.31,40.91,976,36.15,31.24,3.69,50.78,11,0.79,10.75,4.62,1
Sherif El-Tawil,2012,ASCE,118,5254,24,2.79,42,71,24,14.34,27,21.12,51.14,22.62,1.13,83.3,96.7,14,1995,2012,218.92,44.53,54.61,2011,47.88,44.84,1.48,61.62,27.61,1.75,14.8,8.57,1
Apostolos A. Sarlis,2015,ASCE,115,1301,59,3.02,20,34,13,5.63,12,11.31,25.28,10.55,0.2,79.9,92.5,2,1960,2014,22.05,11.31,26.08,647,32.35,25.44,1.6,24.51,11.19,0.34,4.7,2.61,1
Mustafa M. Aral,2011,ASCE,115,24,48,2.18,3,4,0,1.29,3,0.74,3.74,1.33,0.06,95.8,100,0,1971,2006,0.5,0.21,3.46,256,85.33,16,1.55,1.71,-0.23,0.06,0.71,0.42,1
R. James Gensheimer,2014,ASCE,114,1301,59,3.02,20,34,13,5.63,12,11.31,25.28,10.55,0.2,79.9,92.5,2,1960,2014,22.05,11.41,26.08,647,32.35,25.44,1.6,24.58,11.29,0.34,4.7,2.61,1
Satish Nagarajaiah,2015,ASCE,112,1282,54,2.82,17,33,7,6.02,10,8.76,24.62,11.22,0.19,69.8,86.2,2,1965,2014,23.74,11.45,23.69,536,31.53,23.15,2.1,24.48,8.22,0.31,4.87,2.3,1
Faisal Hossain,2015,ASCE,111,1538,39,3.69,21,37,12,5.51,12,11.29,27.89,9.95,0.31,79.3,92.9,1,1980,2014,39.44,13.86,27.87,688,32.76,26.23,1.76,27.72,11.22,0.54,6.28,3.37,1
Dan M. Frangopol,2014,ASCE,111,24,48,2.18,3,4,0,1.29,3,0.74,3.74,1.33,0.06,95.8,100,0,1971,2006,0.5,0.22,3.46,256,85.33,16,1.55,1.73,-0.24,0.06,0.71,0.42,1
John J. Sansalone,2013,ASCE,109,4174,24,2.5,32,63,16,13.65,23,16.06,50.49,19.53,0.96,85.6,97.7,5,1995,2014,173.92,38.29,44.9,1271,39.72,35.65,2.49,54.27,16.77,1.33,13.19,6.52,1
Tzai-Tang Tsai,2012,ASCE,100,137,10,3.5,5,10,4,1.32,3,3.88,10.54,1.37,0.3,99.3,100,0,2009,2011,13.7,1.37,7.07,272,54.4,16.49,4.44,5.73,-2.76,0.5,3.7,1.58,1
Jose I. R.,2012,ASCE,98,1538,29,3.14,17,39,16,4.19,10,16.48,32.83,7.8,0.34,88.9,99.1,4,1990,2019,53.03,15.69,25.75,536,31.53,23.15,3.73,28.9,8.4,0.59,7.28,3.17,1
Tom E. McHugh,2013,ASCE,97,640,28,4.11,15,22,12,3.17,6,10.14,13.67,6.48,0.21,64.4,78.8,2,1991,2020,22.86,6.6,18.17,472,31.47,21.73,0.83,16.16,18.54,0.54,4.78,2.85,1
Gintaris Kaklauskas,2013,ASCE,97,1064,22,3.55,17,31,12,4.82,10,10.88,22.87,8.68,0.45,76.3,90.7,0,1997,2013,48.36,10.97,22.96,536,31.53,23.15,1.81,22.68,11.14,0.77,6.95,3.62,1
John W. De Lindt,2012,ASCE,97,2220,42,2.51,22,47,12,9.31,13,11.77,38.77,13.95,0.31,89.5,99.7,3,1977,2013,52.86,22.89,32.16,731,33.23,27.04,3.11,37.04,11.24,0.52,7.27,3.38,1
Scott J. Brandenberg,2015,ASCE,93,1088,20,3.62,19,30,16,5.55,10,13.75,20.47,9.93,0.5,71.7,85.9,5,1999,2019,54.4,11.7,23.87,608,32,24.66,1.16,23.35,14.82,0.95,7.38,4.25,1
David Linton,2015,ASCE,89,1564,62,2.44,18,39,10,6.11,13,8.24,32.06,10.85,0.21,86.4,99,1,1957,2014,25.23,17.57,26.5,571,31.72,23.9,3.17,30.18,10.1,0.29,5.02,2.28,1
Rakesh Gupta,2015,ASCE,86,2178,33,2.47,21,46,13,8.82,14,15.15,38.13,12.75,0.42,87,98.9,5,1986,2014,66,25.33,31.08,688,32.76,26.23,3.3,38.07,11.69,0.64,8.12,3.67,1
Panayiotis Diplas,2012,ASCE,85,2515,36,2.46,29,49,15,11.07,19,12.83,37.97,15.28,0.53,90.8,99.1,2,1983,2012,69.86,29.59,37.7,1088,37.52,32.98,1.71,42.06,22.56,0.81,8.36,4.85,1
Erin N. Kallman,2012,ASCE,83,2178,33,2.47,21,46,13,8.82,14,15.15,38.13,12.75,0.42,87,98.9,5,1986,2014,66,26.24,31.08,688,32.76,26.23,3.3,38.52,12.12,0.64,8.12,3.67,1
Wen-Yen Huan,2012,ASCE,79,1564,62,2.44,18,39,10,6.11,13,8.24,32.06,10.85,0.21,86.4,99,1,1957,2014,25.23,19.8,26.5,571,31.72,23.9,3.17,31.4,11.38,0.29,5.02,2.28,1
Fahim Sadek,2012,ASCE,78,2524,23,3.53,23,50,14,6.3,13,13.83,42.68,9.08,0.57,93.1,99.8,6,1996,2012,109.74,32.36,33.91,776,33.74,27.86,3.44,43.39,14.37,1,10.48,4.8,1
V. R. Kamat,2015,ASCE,77,1538,29,3.14,17,39,16,4.19,10,16.48,32.83,7.8,0.34,88.9,99.1,4,1990,2019,53.03,19.97,25.75,536,31.53,23.15,3.73,31.32,10.68,0.59,7.28,3.17,1
